Country Name,Country Code,Year,Gini_Index
United States,USA,1963,36.7
United States,USA,1964,37.4
United States,USA,1965,36.8
United States,USA,1966,37.1
United States,USA,1967,36.9
United States,USA,1968,36.3
United States,USA,1969,36.0
United States,USA,1970,36.6
United States,USA,1971,36.9
United States,USA,1972,36.7
United States,USA,1973,36.1
United States,USA,1974,35.5
United States,USA,1975,35.6
United States,USA,1976,35.6
United States,USA,1977,35.5
United States,USA,1978,34.8
United States,USA,1979,34.8
United States,USA,1980,34.7
United States,USA,1981,35.5
United States,USA,1982,36.7
United States,USA,1983,37.3
United States,USA,1984,37.3
United States,USA,1985,37.6
United States,USA,1986,37.6
United States,USA,1987,37.2
United States,USA,1988,37.7
United States,USA,1989,38.2
United States,USA,1990,38.3
United States,USA,1991,38.0
United States,USA,1992,38.4
United States,USA,1993,40.4
United States,USA,1994,40.0
United States,USA,1995,39.9
United States,USA,1996,40.3
United States,USA,1997,40.5
United States,USA,1998,40.0
United States,USA,1999,40.0
United States,USA,2000,40.1
United States,USA,2001,40.6
United States,USA,2002,40.4
United States,USA,2003,40.8
United States,USA,2004,40.5
United States,USA,2005,41.3
United States,USA,2006,41.7
United States,USA,2007,41.1
United States,USA,2008,41.1
United States,USA,2009,40.8
United States,USA,2010,40.2
United States,USA,2011,41.2
United States,USA,2012,41.2
United States,USA,2013,40.9
United States,USA,2014,41.7
United States,USA,2015,41.5
United States,USA,2016,41.3
United States,USA,2017,41.4
United States,USA,2018,41.8
United States,USA,2019,41.9
United States,USA,2020,40.0
United States,USA,2021,39.7
United States,USA,2022,41.7
United States,USA,2023,41.8
